encyclopedia_map_id,doculect_id
5-1,balochi
5-1,dari
5-1,gilaki
5-1,gurani
5-1,hazaragi
5-1,kumzari
5-1,kurdish
5-1,mazanderani
5-1,persian
5-1,shamerzadi
5-1,tajik
5-1,talysh
5-1,tati
5-1,velatru
5-1,zaza
9-1,agul
9-1,akhvakh
9-1,andi
9-1,avar
9-1,bagvalal
9-1,bezhta
9-1,botlikh
9-1,chamalal
9-1,dargwa
9-1,ginukh
9-1,godoberi
9-1,hunzib
9-1,karata
9-1,khvarshi
9-1,lak
9-1,lezgian
9-1,rutul
9-1,tabasaran
9-1,tindi
9-1,tsez
9-2,abaza
9-2,abkhaz
9-2,adyghe
9-2,agul
9-2,akhvakh
9-2,andi
9-2,avar
9-2,bagvalal
9-2,bats
9-2,bezhta
9-2,botlikh
9-2,chamalal
9-2,chechen
9-2,dargwa
9-2,georgian
9-2,ginukh
9-2,godoberi
9-2,hunzib
9-2,ingush
9-2,kabardian
9-2,karata
9-2,khvarshi
9-2,lak
9-2,laz
9-2,lezgian
9-2,mingrelian
9-2,rutul
9-2,svan
9-2,tabasaran
9-2,tindi
9-2,tsez
9-2,ubykh
10-1,afrikaans
10-1,danish
10-1,dutch
10-1,english
10-1,german
10-1,icelandic
10-1,norwegian
10-1,yiddish
10-2,danish
10-2,dutch
10-2,english
10-2,faroese
10-2,frisian
10-2,german
10-2,luxembourgian
10-2,norwegian
10-2,swedish
10-2,swiss_german
10-2,yiddish
11-1,french
11-1,italian
11-1,judeo_spanish
11-1,portuguese
11-1,romanian
11-1,spanish
11-2,franco_provencal
11-2,french
11-2,gascon
11-2,occitan
11-3,corsican
11-3,dalmatian
11-3,franco_provencal
11-3,friulian
11-3,italian
11-3,ladin
11-3,occitan
11-3,rhaeto_romance
11-3,sardinian
11-4,aragonese
11-4,asturian
11-4,catalan
11-4,galician
11-4,gascon
11-4,portuguese
11-4,spanish
11-5,romanian
11-6,aromanian
11-6,megleno_romanian
11-7,rhaeto_romance
11-8,friulian
11-8,ladin
11-9,friulian
11-9,istriot
11-9,istro_romanian
11-9,italian
11-10,catalan
11-10,corsican
11-10,sardinian
13-1,belorussian
13-1,bulgarian
13-1,czech
13-1,kashubian
13-1,macedonian
13-1,polish
13-1,russian
13-1,serbocroatian
13-1,slovak
13-1,slovene
13-1,sorbian
13-1,ukrainian
13-2,old_church_slavonic
13-2,old_novgorod
13-2,old_russian
13-3,bulgarian
13-3,macedonian
13-3,serbocroatian
13-4,serbocroatian
13-5,serbocroatian
13-5,slovene
13-6,czech
13-6,slovak
13-8,kashubian
13-8,polish
13-9,belorussian
13-9,russian
13-10,belorussian
13-10,bulgarian
13-10,russian
13-10,ukrainian
13-11,old_novgorod
13-11,old_russian
14-1-1,latvian
14-1-2,lithuanian
14-2,latvian
14-2,lithuanian
14-2,prussian
14-3,latvian
14-3,lithuanian
14-3,prussian
15-1,modern_hebrew
15-2,akkadian
15-3,akkadian
15-4,akkadian
15-4,ugaritic
15-5,official_aramaic
15-6,ancient_hebrew
15-6,phoenician
15-7,phoenician
15-8,ancient_hebrew
15-8,official_aramaic
15-9,classical_mandaic
15-9,classical_syriac
15-9,jewish_palestinian_aramaic
15-10,modern_hebrew
15-10,neo_aramaic_of_maalula
15-10,neo_mandaic
15-11,turoyo
15-12,turoyo
16-1,elamite
16-1,hattic
16-1,hurrian
16-1,sumerian
16-2,elamite
16-2,urartian
16-3,sumerian
16-4,elamite
16-5,hurrian
16-6,urartian
16-7,hattic
18-1,amharic
18-1,argobba
18-1,gafat
18-1,harari
18-1,tigre
18-1,tigrinya
18-2,geez
18-3,geez
18-4,chaha
18-4,zay
21-1,beng
21-1,boko
21-1,gban
21-1,goo
21-1,jogo
21-1,kakabe
21-1,loko
21-1,mandinka
21-1,mano
21-1,mwan
21-1,soninke
21-1,susu
21-1,tura
21-1,wan
21-1,yaoure
21-2,soninke
21-3,kakabe
21-3,loko
21-3,susu
21-4,beng
21-4,gban
21-4,goo
21-4,mano
21-4,mwan
21-4,tura
21-4,wan
21-4,yaoure
21-5,beng
21-5,jogo
21-10,boko
21-11,mandinka
21-11,soninke
