id,en,ru,file_name,pagenum_offset,comment
1,Uralic languages,Уральские языки,01_uralic.pdf,0,
2,Turkic languages,Тюркские языки,02_turkic.pdf,0,
3,Mongolian languages. Tungus languages. The Japanese language. The Korean language,Монгольские языки. Тунгусо-маньчжурские языки. Японский язык. Корейский язык,03_mongolic_tungusic_japanese_korean.pdf,-1,
4,Paleoasiatic languages,Палеоазиатские языки,04_paleo_asiatic.pdf,1,
5,Iranian languages. I. South-Western Iranian languages,Иранские языки. I. Юго-западные иранские языки,,0,
6,Iranian languages. II. North-Western Iranian languages,Иранские языки. II. Северо-западные иранские языки,06_iranian_2.pdf,0,
7,Iranian languages. III. Eastern Iranian languages,Иранские языки. III. Восточноиранские языки,07_iranian_3.pdf,1,
8,Dardic and Nuristani languages,Дардские и нуристанские языки,08_dardic_nuristani.pdf,1,
9,Caucasian languages,Кавказские языки,09_caucasian.pdf,2,
10,Germanic languages. Celtic languages,Германские языки. Кельтские языки,10_germanic_celtic.pdf,2,
11,Romance languages,Романские языки,11_romance.pdf,1,
12,Indo-Aryan Languages of the Old and Middle Period,Индоарийские языки древнего и среднего периодов,12_indo_aryan.pdf,1,
13,Slavic languages (2nd ed.),Славянские языки (2-е изд.),13_slavic_2nd_ed.pdf,0,
14,Baltic languages,Балтийские языки,14_baltic.pdf,0,
15,Semitic Languages. Akkadian. Northwest Semitic,Семитские языки. Аккадский язык. Северозападносемитские языки,15_semitic.pdf,-2,
16,Ancient Relict Languages of the Near East,Древние реликтовые языки Передней Азии,16_relict_near_east.pdf,0,
17,New Indo-Aryan languages,Новые индоарийские языки,17_new_indo_aryan.pdf,0,
18,Semitic Languages. Ethiosemitic Languages,Семитские языки. Эфиосемиткие языки,18_ethiosemitic.pdf,0,
19,Dravidian languages,Дравидийские языки,,0,
20,Relict Indo-European languages of the West and Central Asia,Реликтовые индоевропейские языки Передней и Центральной Азии,,0,
21,Mande languages,Языки манде,21_mande.pdf,0,
